sku,claveProducto,qty,price,group_price:Lista 2,group_price:Lista 3,group_price:Lista 4,group_price:Lista 5,group_price:Lista 6,group_price:Lista 7,use_config_backorders,status
02614,300000366,64.00,123.40,125.90,0.00,0.00,0.00,0.00,0.00,1,1
01388,300000367,7.00,4390.10,4478.40,0.00,0.00,0.00,0.00,0.00,1,1
01409,300000368,25.00,2912.70,2971.20,0.00,0.00,0.00,0.00,0.00,1,1
490-014,300000369,3.00,364.30,364.30,0.00,0.00,0.00,0.00,0.00,1,1
662-515,300000370,13.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
05821,300000371,15.00,39.50,40.30,0.00,0.00,0.00,0.00,0.00,1,1
700-1023A,300000372,0.00,2961.80,2961.80,0.00,0.00,0.00,0.00,0.00,1,1
662-211,300000374,21.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
704-250,300000375,2.00,99.60,99.60,0.00,0.00,0.00,0.00,0.00,1,1
S-331115V,300000376,15.00,45.10,45.10,0.00,0.00,0.00,0.00,0.00,1,1
316-513,300000378,7.00,1254.00,1254.00,0.00,0.00,0.00,0.00,0.00,1,1
697-417,300000379,9.00,698.70,698.70,0.00,0.00,0.00,0.00,0.00,1,1
730-005,300000380,0.00,138.30,138.30,0.00,0.00,0.00,0.00,0.00,1,1
662-425,300000381,2.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
00564,300000382,7.00,617.10,629.50,0.00,0.00,0.00,0.00,0.00,1,1
520-025,300000383,3.00,2363.20,2363.20,0.00,0.00,0.00,0.00,0.00,1,1
01352,300000385,3.00,1093.20,1115.10,0.00,0.00,0.00,0.00,0.00,1,1
662-419,300000386,23.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
08413,300000387,19.00,317.40,323.70,0.00,0.00,0.00,0.00,0.00,1,1
04415,300000389,1.00,3900.00,3978.40,0.00,0.00,0.00,0.00,0.00,1,1
22859,300000390,5.00,478.90,488.50,0.00,0.00,0.00,0.00,0.00,1,1
22389,300000391,1.00,469.00,478.40,0.00,0.00,0.00,0.00,0.00,1,1
662-309,300000392,6.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
671-412,300000393,2.00,698.70,698.70,0.00,0.00,0.00,0.00,0.00,1,1
22363,300000395,3.00,6467.10,6597.10,0.00,0.00,0.00,0.00,0.00,1,1
00565,300000396,15.00,828.70,845.30,0.00,0.00,0.00,0.00,0.00,1,1
662-621,300000397,7.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
