sku,qty,price,group_price:Lista 2,group_price:Lista 3,group_price:Lista 4,group_price:Lista 5,group_price:Lista 6,group_price:Lista 7,use_config_backorders,status
WC-0515221,0.00,225.40,225.40,0.00,0.00,0.00,0.00,0.00,1,1
20241950,15.00,144.30,144.30,0.00,0.00,0.00,0.00,0.00,1,1
3312000700,0.00,255.80,276.50,0.00,0.00,0.00,0.00,0.00,1,1
8912-0810,0.00,527.40,527.40,0.00,0.00,0.00,0.00,0.00,1,1
645-XXXX,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
2409007400,1.00,2054.90,2221.40,0.00,0.00,0.00,0.00,0.00,1,1
145-032,4.00,867.50,867.50,0.00,0.00,0.00,0.00,0.00,1,1
300003,12.00,208.51,208.51,0.00,0.00,0.00,0.00,0.00,1,1
541-411,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
01187,0.00,71053.30,72482.00,0.00,0.00,0.00,0.00,0.00,1,1
W-0371417,1.00,871.20,888.60,0.00,0.00,0.00,0.00,0.00,1,1
702-140,6.00,2529.30,2529.30,0.00,0.00,0.00,0.00,0.00,1,1
601,0.00,2877.81,2877.81,0.00,0.00,0.00,0.00,0.00,1,1
HDCBX-112,1.00,5099.70,5099.70,0.00,0.00,0.00,0.00,0.00,1,1
20240219,152.40,130.30,130.30,0.00,0.00,0.00,0.00,0.00,1,1
S-103024X,2.00,688.40,688.40,0.00,0.00,0.00,0.00,0.00,1,1
AC-252HG-25,1.00,359.70,381.30,0.00,0.00,0.00,0.00,0.00,1,1
TVT-353007B,0.00,0.18,0.20,0.00,0.00,0.00,0.00,0.00,1,1
98021750,0.00,155.00,193.80,0.00,0.00,0.00,0.00,0.00,1,1
08845,1.00,246.80,251.80,0.00,0.00,0.00,0.00,0.00,1,1
20242189,5.00,275.06,275.06,0.00,0.00,0.00,0.00,0.00,1,1
651-124,0.00,1013.20,1013.20,0.00,0.00,0.00,0.00,0.00,1,1
0295687,8.00,38.30,38.30,0.00,0.00,0.00,0.00,0.00,1,1
W-0371221,1.00,940.90,959.70,0.00,0.00,0.00,0.00,0.00,1,1
20857,0.00,4555.90,4647.50,0.00,0.00,0.00,0.00,0.00,1,1
S-142506,3.00,136.50,136.50,0.00,0.00,0.00,0.00,0.00,1,1
PRO-414,2.00,140.95,140.95,0.00,0.00,0.00,0.00,0.00,1,1
NNR-1303,20.00,9.10,9.80,0.00,0.00,0.00,0.00,0.00,1,1
TB-R-24,0.00,23.20,25.05,0.00,0.00,0.00,0.00,0.00,1,1
13474,0.00,14403.90,14692.00,0.00,0.00,0.00,0.00,0.00,1,1
16011-ZE0-005,4.00,227.30,245.70,0.00,0.00,0.00,0.00,0.00,1,1
BUJ-1,2.00,212.79,230.02,0.00,0.00,0.00,0.00,0.00,1,1
CNA052,0.00,39.80,39.80,0.00,0.00,0.00,0.00,0.00,1,1
15721-ZH8-000,0.00,67.20,72.60,0.00,0.00,0.00,0.00,0.00,1,1
FRL14,1.00,1415.41,1530.06,0.00,0.00,0.00,0.00,0.00,1,1
CG1037,10.00,262.00,262.00,0.00,0.00,0.00,0.00,0.00,1,1
721-523,0.00,749.20,749.20,0.00,0.00,0.00,0.00,0.00,1,1
333751,0.00,596.80,596.80,0.00,0.00,0.00,0.00,0.00,1,1
BB-503007B,0.00,0.18,0.20,0.00,0.00,0.00,0.00,0.00,1,1
PRO-008,2.00,29.10,29.10,0.00,0.00,0.00,0.00,0.00,1,1
